TestID,Severity,Confidence,File,Line,Message
B201,HIGH,MEDIUM,.\services\kyc-api\app\main.py,25,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code."
B104,MEDIUM,MEDIUM,.\services\kyc-api\app\main.py,25,Possible binding to all interfaces.
B608,MEDIUM,LOW,.\services\kyc-api\app\routes\verify.py,51,Possible SQL injection vector through string-based query construction.
B608,MEDIUM,LOW,.\services\kyc-api\app\routes\verify.py,53,Possible SQL injection vector through string-based query construction.
B101,LOW,HIGH,.\services\kyc-api\tests\test_smoke.py,14,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
B324,HIGH,HIGH,.\services\payments-api\app\auth.py,22,Use of weak MD5 hash for security. Consider usedforsecurity=False
B201,HIGH,MEDIUM,.\services\payments-api\app\main.py,44,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code."
B104,MEDIUM,MEDIUM,.\services\payments-api\app\main.py,44,Possible binding to all interfaces.
B608,MEDIUM,MEDIUM,.\services\payments-api\app\routes\accounts.py,76,Possible SQL injection vector through string-based query construction.
B403,LOW,HIGH,.\services\payments-api\app\routes\admin.py,8,Consider possible security implications associated with pickle module.
B301,MEDIUM,HIGH,.\services\payments-api\app\routes\admin.py,35,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
B311,LOW,HIGH,.\services\payments-api\app\routes\auth.py,78,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
B608,MEDIUM,LOW,.\services\payments-api\app\routes\transactions.py,26,Possible SQL injection vector through string-based query construction.
B101,LOW,HIGH,.\services\payments-api\tests\test_smoke.py,21,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
B101,LOW,HIGH,.\services\payments-api\tests\test_smoke.py,22,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
